Latitude (decimal degrees):	59.246
Longitude (decimal degrees):	18.035
Elevation (m):	57
Radiation database:	PVGIS-SARAH3


Slope: 42 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230402:0511,38.31,79.26,6.72,-5.0,3.45,0.0
20230402:0611,252.9,304.66,14.29,-4.09,3.03,0.0
20230402:0711,464.67,524.82,21.41,-2.1,2.83,0.0
20230402:0811,645.46,734.74,27.6,-0.34,3.1,0.0
20230402:0911,777.44,899.69,32.35,1.19,3.59,0.0
20230402:1011,831.96,962.61,35.13,2.03,4.76,0.0
20230402:1111,684.13,780.19,35.56,2.09,5.1,0.0
20230402:1211,833.85,961.72,33.59,2.04,5.03,0.0
20230402:1311,568.38,641.89,29.48,1.78,5.1,0.0
20230402:1411,541.98,611.49,23.74,1.35,5.17,0.0
20230402:1511,333.46,389.23,16.89,0.67,5.24,0.0
20230402:1611,98.3,150.99,9.43,-0.04,5.03,0.0
20230402:1711,0.0,1.65,1.77,-0.92,4.9,0.0
20230402:1811,0.0,0.0,0.0,-1.95,4.76,0.0
20230402:1911,0.0,0.0,0.0,-2.56,4.21,0.0
20230402:2011,0.0,0.0,0.0,-3.16,4.07,0.0
20230402:2111,0.0,0.0,0.0,-3.75,3.86,0.0
20230402:2211,0.0,0.0,0.0,-4.26,3.79,0.0
20230402:2311,0.0,0.0,0.0,-4.56,3.79,0.0
20230403:0011,0.0,0.0,0.0,-4.82,3.79,0.0
20230403:0111,0.0,0.0,0.0,-4.97,3.66,0.0
20230403:0211,0.0,0.0,0.0,-5.08,3.52,0.0
20230403:0311,0.0,0.0,0.0,-5.25,3.45,0.0
20230403:0411,0.0,0.0,0.0,-5.46,3.45,0.0
20230403:0511,40.66,81.69,7.09,-5.44,3.45,0.0
20230403:0611,254.34,305.01,14.67,-4.45,3.17,0.0
20230403:0711,477.89,536.74,21.79,-2.65,3.31,0.0
20230403:0811,660.64,748.46,27.99,-1.05,3.38,0.0
20230403:0911,786.67,909.17,32.74,0.1,3.31,0.0
20230403:1011,873.04,1027.67,35.52,0.89,3.17,0.0
20230403:1111,889.64,1053.1,35.94,1.46,3.17,0.0
20230403:1211,837.78,985.84,33.94,1.73,3.1,0.0
20230403:1311,727.0,842.31,29.81,1.93,3.24,0.0
20230403:1411,554.57,637.39,24.05,1.89,2.83,0.0
20230403:1511,323.44,383.37,17.19,1.76,2.55,0.0
20230403:1611,97.83,150.78,9.72,1.16,1.86,0.0
20230403:1711,0.0,2.48,2.06,0.13,2.21,0.0
20230403:1811,0.0,0.0,0.0,-0.94,2.41,0.0
20230403:1911,0.0,0.0,0.0,-1.73,2.14,0.0
20230403:2011,0.0,0.0,0.0,-2.47,1.86,0.0
20230403:2111,0.0,0.0,0.0,-3.57,1.38,0.0
20230403:2211,0.0,0.0,0.0,-3.82,0.97,0.0
20230403:2311,0.0,0.0,0.0,-3.0,0.83,0.0
20230404:0011,0.0,0.0,0.0,-4.45,1.1,0.0
20230404:0111,0.0,0.0,0.0,-6.75,1.45,0.0
20230404:0211,0.0,0.0,0.0,-7.92,1.66,0.0
20230404:0311,0.0,0.0,0.0,-8.52,1.79,0.0
20230404:0411,0.0,0.0,0.0,-9.01,1.93,0.0
20230404:0511,20.49,35.93,7.45,-9.36,2.07,0.0
20230404:0611,201.49,239.0,15.04,-7.86,2.28,0.0
20230404:0711,235.22,270.89,22.16,-3.31,1.66,0.0
20230404:0811,351.96,400.47,28.37,-1.22,1.72,0.0
20230404:0911,370.87,424.07,33.13,-0.05,1.79,0.0
20230404:1011,325.02,374.35,35.91,0.53,1.79,0.0
20230404:1111,323.31,373.17,36.32,0.82,1.72,0.0
20230404:1211,325.47,375.87,34.3,1.19,1.72,0.0
20230404:1311,263.03,306.35,30.15,1.42,1.86,0.0
20230404:1411,236.34,277.41,24.36,1.84,1.93,0.0
20230404:1511,311.87,371.05,17.49,1.84,1.93,0.0
20230404:1611,99.65,153.66,10.01,1.32,1.45,0.0
20230404:1711,0.0,4.13,2.35,0.47,2.0,0.0
20230404:1811,0.0,0.0,0.0,-0.66,2.41,0.0
20230404:1911,0.0,0.0,0.0,-1.12,2.0,0.0
20230404:2011,0.0,0.0,0.0,-1.82,2.0,0.0
20230404:2111,0.0,0.0,0.0,-2.37,2.21,0.0
20230404:2211,0.0,0.0,0.0,-2.73,2.55,0.0
20230404:2311,0.0,0.0,0.0,-3.04,2.9,0.0
20230405:0011,0.0,0.0,0.0,-3.33,3.1,0.0
20230405:0111,0.0,0.0,0.0,-3.61,3.31,0.0
20230405:0211,0.0,0.0,0.0,-3.86,3.45,0.0
20230405:0311,0.0,0.0,0.0,-4.01,3.45,0.0
20230405:0411,0.0,0.0,0.0,-4.01,3.38,0.0
20230405:0511,23.53,40.38,7.82,-3.63,3.38,0.0
20230405:0611,57.38,79.26,15.4,-2.52,3.17,0.0
20230405:0711,133.82,163.05,22.54,-1.07,3.59,0.0
20230405:0811,130.91,160.63,28.75,-0.01,4.07,0.0
20230405:0911,152.49,184.08,33.52,0.2,4.41,0.0
20230405:1011,101.74,129.1,36.3,0.39,4.97,0.0
20230405:1111,145.1,175.82,36.7,0.07,5.66,0.0
20230405:1211,125.15,154.2,34.66,-0.01,5.93,0.0
20230405:1311,69.27,93.24,30.48,0.47,5.93,0.0
20230405:1411,53.23,75.31,24.67,0.77,4.97,0.0
20230405:1511,47.76,69.03,17.78,0.73,4.76,0.0
20230405:1611,28.0,46.03,10.3,0.73,3.79,0.0
20230405:1711,0.0,1.65,2.64,0.86,3.45,0.0
20230405:1811,0.0,0.0,0.0,0.59,3.38,0.0
20230405:1911,0.0,0.0,0.0,-0.09,3.38,0.0
20230405:2011,0.0,0.0,0.0,-0.32,3.38,0.0
20230405:2111,0.0,0.0,0.0,-0.38,3.38,0.0
20230405:2211,0.0,0.0,0.0,-0.44,3.24,0.0
20230405:2311,0.0,0.0,0.0,-0.54,2.97,0.0
20230406:0011,0.0,0.0,0.0,-0.68,2.83,0.0
20230406:0111,0.0,0.0,0.0,-0.69,2.62,0.0
20230406:0211,0.0,0.0,0.0,-0.68,2.48,0.0
20230406:0311,0.0,0.0,0.0,-0.63,2.41,0.0
20230406:0411,0.0,0.0,0.0,-0.61,2.34,0.0
20230406:0511,6.92,17.93,8.18,-0.58,2.28,0.0
20230406:0611,48.56,69.93,15.77,0.11,1.79,0.0
20230406:0711,116.2,145.79,22.91,1.11,1.86,0.0
20230406:0811,255.37,298.32,29.13,1.86,1.93,0.0
20230406:0911,307.31,356.64,33.9,2.23,2.0,0.0
20230406:1011,285.87,333.69,36.68,2.54,2.0,0.0
20230406:1111,520.51,603.71,37.07,2.77,2.07,0.0
20230406:1211,465.18,537.8,35.01,2.81,2.07,0.0
20230406:1311,424.53,489.18,30.81,2.63,2.14,0.0
20230406:1411,330.2,382.27,24.98,2.46,2.07,0.0
20230406:1511,133.5,166.46,18.07,1.98,1.86,0.0
20230406:1611,49.25,73.57,10.58,1.45,1.31,0.0
20230406:1711,0.0,1.65,2.93,0.81,1.1,0.0
20230406:1811,0.0,0.0,0.0,0.21,0.69,0.0
20230406:1911,0.0,0.0,0.0,-0.37,1.24,0.0
20230406:2011,0.0,0.0,0.0,-0.62,1.52,0.0
20230406:2111,0.0,0.0,0.0,-0.71,1.59,0.0
20230406:2211,0.0,0.0,0.0,-0.55,1.72,0.0
20230406:2311,0.0,0.0,0.0,-0.37,1.86,0.0
20230407:0011,0.0,0.0,0.0,-0.42,2.0,0.0
20230407:0111,0.0,0.0,0.0,-0.53,2.21,0.0
20230407:0211,0.0,0.0,0.0,-0.66,2.41,0.0
20230407:0311,0.0,0.0,0.0,-0.82,2.55,0.0
20230407:0411,0.0,0.0,0.0,-0.83,2.62,0.0
20230407:0511,4.6,14.34,8.55,-0.46,2.76,0.0
20230407:0611,29.52,47.52,16.13,0.18,2.83,0.0
20230407:0711,71.33,95.93,23.28,0.95,3.03,0.0
20230407:0811,88.06,114.76,29.51,1.41,3.17,0.0
20230407:0911,68.59,93.24,34.29,2.05,3.31,0.0
20230407:1011,73.95,99.51,37.06,2.7,3.45,0.0
20230407:1111,70.68,95.93,37.44,2.94,3.31,0.0
20230407:1211,68.14,93.24,35.36,3.46,3.45,0.0
20230407:1311,84.75,112.07,31.14,3.7,3.52,0.0
20230407:1411,57.87,81.58,25.29,3.67,3.45,0.0
20230407:1511,71.53,97.27,18.37,3.73,3.1,0.0
20230407:1611,47.13,71.18,10.87,3.34,2.9,0.0
20230407:1711,0.0,4.13,3.22,2.45,2.97,0.0
20230407:1811,0.0,0.0,0.0,1.61,3.1,0.0
20230407:1911,0.0,0.0,0.0,1.4,2.97,0.0
20230407:2011,0.0,0.0,0.0,1.33,2.97,0.0
20230407:2111,0.0,0.0,0.0,1.14,3.1,0.0
20230407:2211,0.0,0.0,0.0,1.03,3.24,0.0
20230407:2311,0.0,0.0,0.0,1.1,3.38,0.0
20230408:0011,0.0,0.0,0.0,1.14,3.52,0.0
20230408:0111,0.0,0.0,0.0,1.14,3.66,0.0
20230408:0211,0.0,0.0,0.0,1.15,3.66,0.0
20230408:0311,0.0,0.0,0.0,1.24,3.59,0.0
20230408:0411,0.0,0.0,0.0,0.9,3.45,0.0
20230408:0511,9.93,22.41,8.91,0.94,3.24,0.0
20230408:0611,82.83,109.63,16.5,1.57,2.97,0.0
20230408:0711,375.44,432.5,23.65,2.94,3.38,0.0
20230408:0811,664.12,770.2,29.89,3.95,3.52,0.0
20230408:0911,794.47,938.75,34.67,4.91,3.59,0.0
20230408:1011,861.33,1029.32,37.44,5.66,3.79,0.0
20230408:1111,849.61,1016.41,37.81,6.11,3.79,0.0
20230408:1211,814.61,973.72,35.71,6.38,3.52,0.0
20230408:1311,702.71,831.51,31.46,6.51,3.17,0.0
20230408:1411,538.49,632.04,25.59,6.48,2.83,0.0
20230408:1511,327.65,396.53,18.66,6.04,2.21,0.0
20230408:1611,104.2,161.57,11.15,5.15,1.86,0.0
20230408:1711,1.96,9.92,3.5,4.44,2.14,0.0
20230408:1811,0.0,0.0,0.0,3.4,2.41,0.0
20230408:1911,0.0,0.0,0.0,2.34,2.07,0.0
20230408:2011,0.0,0.0,0.0,1.55,2.07,0.0
20230408:2111,0.0,0.0,0.0,0.9,1.93,0.0
20230408:2211,0.0,0.0,0.0,0.34,2.0,0.0
20230408:2311,0.0,0.0,0.0,-0.07,2.07,0.0
20230409:0011,0.0,0.0,0.0,-0.34,2.21,0.0
20230409:0111,0.0,0.0,0.0,-0.46,2.28,0.0
20230409:0211,0.0,0.0,0.0,-0.55,2.41,0.0
20230409:0311,0.0,0.0,0.0,-0.6,2.55,0.0
20230409:0411,0.0,0.0,0.0,-0.62,2.62,0.0
20230409:0511,56.53,102.68,9.26,-0.31,2.55,0.0
20230409:0611,116.53,147.74,16.86,0.88,2.28,0.0
20230409:0711,293.03,342.3,24.01,2.93,2.0,0.0
20230409:0811,444.77,518.06,30.26,4.48,1.93,0.0
20230409:0911,645.44,769.04,35.05,5.75,1.93,0.0
20230409:1011,803.81,981.97,37.82,6.71,2.14,0.0
20230409:1111,820.88,1006.91,38.18,7.12,2.21,0.0
20230409:1211,735.7,899.85,36.06,8.62,2.0,0.0
20230409:1311,300.42,358.8,31.79,8.29,1.79,0.0
20230409:1411,230.51,278.69,25.9,7.91,1.72,0.0
20230409:1511,222.43,273.41,18.95,7.2,1.66,0.0
20230409:1611,104.88,162.89,11.43,6.17,1.31,0.0
20230409:1711,4.28,14.06,3.79,4.62,1.38,0.0
20230409:1811,0.0,0.0,0.0,2.91,1.31,0.0
20230409:1911,0.0,0.0,0.0,1.81,1.24,0.0
20230409:2011,0.0,0.0,0.0,0.53,0.83,0.0
20230409:2111,0.0,0.0,0.0,1.01,0.62,0.0
20230409:2211,0.0,0.0,0.0,0.97,0.55,0.0
20230409:2311,0.0,0.0,0.0,0.77,0.55,0.0
20230410:0011,0.0,0.0,0.0,0.59,0.41,0.0
20230410:0111,0.0,0.0,0.0,-0.67,0.9,0.0
20230410:0211,0.0,0.0,0.0,-1.85,1.31,0.0
20230410:0311,0.0,0.0,0.0,-2.46,1.31,0.0
20230410:0411,0.0,0.83,2.0,-2.44,1.38,0.0
20230410:0511,53.67,85.2,9.62,-1.72,1.31,0.0
20230410:0611,262.53,322.12,17.21,1.6,1.1,0.0
20230410:0711,489.07,575.71,24.37,3.6,1.17,0.0
20230410:0811,616.62,732.47,30.63,5.03,1.52,0.0
20230410:0911,764.94,932.18,35.42,6.05,1.66,0.0
20230410:1011,828.78,1020.7,38.2,6.68,1.93,0.0
20230410:1111,825.74,1010.05,38.55,6.9,2.34,0.0
20230410:1211,796.99,963.46,36.41,6.79,2.69,0.0
20230410:1311,675.21,802.16,32.11,6.42,2.55,0.0
20230410:1411,529.04,622.27,26.2,6.01,2.28,0.0
20230410:1511,329.39,397.29,19.24,5.32,2.14,0.0
20230410:1611,69.94,101.53,11.72,4.17,2.07,0.0
20230410:1711,2.43,10.75,4.07,2.62,2.21,0.0
20230410:1811,0.0,0.0,0.0,1.47,2.41,0.0
20230410:1911,0.0,0.0,0.0,1.33,2.55,0.0
20230410:2011,0.0,0.0,0.0,1.03,2.62,0.0
20230410:2111,0.0,0.0,0.0,0.99,2.69,0.0
20230410:2211,0.0,0.0,0.0,0.98,2.62,0.0
20230410:2311,0.0,0.0,0.0,0.96,2.62,0.0
20230411:0011,0.0,0.0,0.0,0.99,2.55,0.0
20230411:0111,0.0,0.0,0.0,1.05,2.48,0.0
20230411:0211,0.0,0.0,0.0,1.13,2.41,0.0
20230411:0311,0.0,0.0,0.0,1.17,2.55,0.0
20230411:0411,0.0,0.83,2.36,1.16,2.69,0.0
20230411:0511,61.58,109.31,9.97,1.73,2.76,0.0
20230411:0611,273.05,334.45,17.57,3.22,2.69,0.0
20230411:0711,481.95,560.6,24.73,4.71,2.97,0.0
20230411:0811,568.57,663.52,31.0,6.11,3.24,0.0
20230411:0911,491.22,573.75,35.8,7.07,3.52,0.0
20230411:1011,388.78,455.83,38.57,7.78,3.86,0.0
20230411:1111,117.73,151.51,38.91,8.27,4.28,0.0
20230411:1211,726.67,859.85,36.75,8.07,4.41,0.0
20230411:1311,682.52,802.1,32.43,8.21,4.62,0.0
20230411:1411,127.76,162.51,26.5,8.18,4.41,0.0
20230411:1511,150.14,188.71,19.52,7.82,4.14,0.0
20230411:1611,103.34,158.37,12.0,7.12,4.0,0.0
20230411:1711,4.74,14.88,4.35,5.99,3.79,0.0
20230411:1811,0.0,0.0,0.0,4.88,3.66,0.0
20230411:1911,0.0,0.0,0.0,4.78,3.45,0.0
20230411:2011,0.0,0.0,0.0,4.34,3.17,0.0
20230411:2111,0.0,0.0,0.0,4.01,3.03,0.0
20230411:2211,0.0,0.0,0.0,3.8,3.03,0.0
20230411:2311,0.0,0.0,0.0,3.72,3.03,0.0
20230412:0011,0.0,0.0,0.0,3.64,2.97,0.0
20230412:0111,0.0,0.0,0.0,3.54,2.9,0.0
20230412:0211,0.0,0.0,0.0,3.51,2.69,0.0
20230412:0311,0.0,0.0,0.0,3.42,2.41,0.0
20230412:0411,0.0,1.65,2.71,3.11,2.48,0.0
20230412:0511,59.18,95.9,10.32,3.35,2.41,0.0
20230412:0611,243.24,300.11,17.92,4.75,2.34,0.0
20230412:0711,433.05,508.08,25.09,6.79,2.97,0.0
20230412:0811,648.54,770.11,31.36,7.91,2.97,0.0
20230412:0911,747.69,898.85,36.17,8.71,3.31,0.0
20230412:1011,816.53,990.61,38.95,8.82,3.45,0.0
20230412:1111,796.83,965.79,39.27,8.93,3.38,0.0
20230412:1211,781.84,945.87,37.09,9.19,3.38,0.0
20230412:1311,578.27,684.57,32.75,8.97,3.31,0.0
20230412:1411,396.91,467.67,26.8,8.57,3.31,0.0
20230412:1511,243.26,297.05,19.81,7.9,3.1,0.0
20230412:1611,86.34,127.2,12.27,7.29,2.9,0.0
20230412:1711,4.24,14.06,4.63,6.24,3.1,0.0
20230412:1811,0.0,0.0,0.0,5.36,3.45,0.0
20230412:1911,0.0,0.0,0.0,5.77,3.38,0.0
20230412:2011,0.0,0.0,0.0,5.69,3.38,0.0
20230412:2111,0.0,0.0,0.0,5.57,3.52,0.0
20230412:2211,0.0,0.0,0.0,5.39,3.79,0.0
20230412:2311,0.0,0.0,0.0,5.16,4.21,0.0
20230413:0011,0.0,0.0,0.0,5.32,4.69,0.0
20230413:0111,0.0,0.0,0.0,5.96,4.83,0.0
20230413:0211,0.0,0.0,0.0,6.42,4.76,0.0
20230413:0311,0.0,0.0,0.0,6.05,4.83,0.0
20230413:0411,0.0,1.65,3.06,5.58,4.9,0.0
20230413:0511,22.34,39.45,10.66,5.52,4.9,0.0
20230413:0611,59.12,83.83,18.27,6.1,4.34,0.0
20230413:0711,178.04,217.37,25.45,7.05,4.69,0.0
20230413:0811,240.6,287.05,31.72,7.6,4.69,0.0
20230413:0911,168.52,207.93,36.54,7.67,4.21,0.0
20230413:1011,82.49,111.17,39.31,7.49,4.07,0.0
20230413:1111,49.46,72.62,39.63,6.51,4.48,0.0
20230413:1211,80.12,107.58,37.43,5.62,4.69,0.0
20230413:1311,50.58,73.51,33.07,5.09,4.69,0.0
20230413:1411,24.58,42.14,27.09,4.62,4.83,0.0
20230413:1511,63.22,87.86,20.09,4.34,4.9,0.0
20230413:1611,67.12,96.32,12.55,4.18,4.9,0.0
20230413:1711,0.09,5.79,4.91,4.11,4.69,0.0
20230413:1811,0.0,0.0,0.0,4.22,4.76,0.0
20230413:1911,0.0,0.0,0.0,4.3,3.86,0.0
20230413:2011,0.0,0.0,0.0,4.3,4.14,0.0
20230413:2111,0.0,0.0,0.0,4.42,4.21,0.0
20230413:2211,0.0,0.0,0.0,4.43,4.14,0.0
20230413:2311,0.0,0.0,0.0,4.7,4.21,0.0
20230414:0011,0.0,0.0,0.0,4.73,4.28,0.0
20230414:0111,0.0,0.0,0.0,4.83,4.28,0.0
20230414:0211,0.0,0.0,0.0,4.86,4.34,0.0
20230414:0311,0.0,0.0,0.0,5.15,4.55,0.0
20230414:0411,0.0,1.65,3.4,5.0,4.55,0.0
20230414:0511,2.4,10.76,11.01,4.91,4.62,0.0
20230414:0611,23.82,41.24,18.61,4.97,4.41,0.0
20230414:0711,187.51,225.44,25.8,4.52,4.62,0.0
20230414:0811,308.4,357.57,32.08,4.58,4.69,0.0
20230414:0911,90.72,119.24,36.91,4.95,4.48,0.0
20230414:1011,73.0,99.51,39.68,5.62,4.55,0.0
20230414:1111,143.82,179.3,39.99,6.29,4.69,0.0
20230414:1211,398.64,461.73,37.77,6.01,4.55,0.0
20230414:1311,62.67,87.86,33.38,6.13,4.76,0.0
20230414:1411,43.54,65.45,27.39,5.85,4.76,0.0
20230414:1511,98.36,128.42,20.37,5.85,4.76,0.0
20230414:1611,80.5,115.49,12.83,5.44,4.41,0.0
20230414:1711,7.41,19.02,5.18,4.84,4.69,0.0
20230414:1811,0.0,0.0,0.0,4.24,4.76,0.0
20230414:1911,0.0,0.0,0.0,3.6,4.21,0.0
20230414:2011,0.0,0.0,0.0,3.49,4.07,0.0
20230414:2111,0.0,0.0,0.0,3.66,3.93,0.0
20230414:2211,0.0,0.0,0.0,3.95,3.93,0.0
20230414:2311,0.0,0.0,0.0,3.98,4.0,0.0
20230415:0011,0.0,0.0,0.0,3.79,4.07,0.0
20230415:0111,0.0,0.0,0.0,3.66,3.93,0.0
20230415:0211,0.0,0.0,0.0,3.49,3.79,0.0
20230415:0311,0.0,0.0,0.0,3.25,3.72,0.0
20230415:0411,0.0,2.48,3.74,3.09,3.86,0.0
20230415:0511,72.44,123.09,11.35,3.48,3.86,0.0
20230415:0611,287.46,350.44,18.95,4.48,3.79,0.0
20230415:0711,491.79,570.83,26.14,5.48,3.79,0.0
20230415:0811,677.48,792.67,32.44,6.26,3.93,0.0
20230415:0911,785.02,931.27,37.27,6.89,4.07,0.0
20230415:1011,842.86,1009.76,40.04,7.34,4.14,0.0
20230415:1111,842.81,1011.45,40.34,7.64,4.14,0.0
20230415:1211,806.71,962.54,38.1,7.6,4.14,0.0
20230415:1311,673.85,790.92,33.69,7.41,4.21,0.0
20230415:1411,398.6,464.49,27.68,6.99,4.14,0.0
20230415:1511,337.31,404.95,20.65,6.45,4.0,0.0
20230415:1611,113.67,172.32,13.1,5.7,3.72,0.0
20230415:1711,10.23,23.15,5.46,4.83,3.52,0.0
20230415:1811,0.0,0.0,0.0,3.75,3.52,0.0
20230415:1911,0.0,0.0,0.0,3.41,3.52,0.0
20230415:2011,0.0,0.0,0.0,2.86,3.38,0.0
20230415:2111,0.0,0.0,0.0,2.51,3.24,0.0
20230415:2211,0.0,0.0,0.0,2.18,3.17,0.0
20230415:2311,0.0,0.0,0.0,1.91,3.1,0.0
20230416:0011,0.0,0.0,0.0,1.61,3.1,0.0
20230416:0111,0.0,0.0,0.0,1.42,3.03,0.0
20230416:0211,0.0,0.0,0.0,1.2,3.03,0.0
20230416:0311,0.0,0.0,0.0,1.05,3.1,0.0
20230416:0411,1.19,8.27,4.08,0.94,3.17,0.0
20230416:0511,78.86,134.41,11.69,1.54,3.03,0.0
20230416:0611,300.5,363.27,19.29,2.71,3.31,0.0
20230416:0711,507.26,586.19,26.49,4.13,3.59,0.0
20230416:0811,684.17,800.98,32.79,5.53,3.59,0.0
20230416:0911,795.37,948.7,37.63,6.73,3.66,0.0
20230416:1011,850.0,1027.1,40.41,7.58,3.66,0.0
20230416:1111,848.42,1028.84,40.69,8.09,3.59,0.0
20230416:1211,792.34,955.32,38.44,8.29,3.45,0.0
20230416:1311,703.71,839.26,34.0,8.23,3.31,0.0
20230416:1411,544.97,642.54,27.97,7.97,3.24,0.0
20230416:1511,339.53,410.76,20.93,7.41,3.17,0.0
20230416:1611,117.78,179.2,13.37,6.53,2.83,0.0
20230416:1711,10.77,23.98,5.73,5.34,2.55,0.0
20230416:1811,0.0,0.0,0.0,3.99,2.48,0.0
20230416:1911,0.0,0.0,0.0,3.68,2.34,0.0
20230416:2011,0.0,0.0,0.0,3.02,2.62,0.0
20230416:2111,0.0,0.0,0.0,2.45,2.69,0.0
20230416:2211,0.0,0.0,0.0,1.95,2.69,0.0
20230416:2311,0.0,0.0,0.0,1.52,2.62,0.0
20230417:0011,0.0,0.0,0.0,1.17,2.62,0.0
20230417:0111,0.0,0.0,0.0,0.99,2.69,0.0
20230417:0211,0.0,0.0,0.0,0.86,2.76,0.0
20230417:0311,0.0,0.0,0.0,0.7,2.9,0.0
20230417:0411,2.47,10.75,4.42,0.59,2.97,0.0
20230417:0511,81.94,138.67,12.02,1.22,2.9,0.0
20230417:0611,296.85,358.87,19.63,2.76,2.97,0.0
20230417:0711,505.09,586.1,26.83,4.53,3.24,0.0
20230417:0811,673.99,794.58,33.14,6.38,3.24,0.0
20230417:0911,785.04,945.46,37.99,7.97,3.31,0.0
20230417:1011,847.49,1036.72,40.76,9.2,3.38,0.0
20230417:1111,841.58,1031.13,41.04,9.98,3.52,0.0
20230417:1211,791.08,963.42,38.76,10.35,3.52,0.0
20230417:1311,699.23,841.78,34.31,10.41,3.45,0.0
20230417:1411,537.73,640.45,28.26,10.22,3.31,0.0
20230417:1511,333.77,408.27,21.2,9.75,3.1,0.0
20230417:1611,117.77,180.59,13.64,8.96,2.69,0.0
20230417:1711,11.22,24.81,6.01,7.56,2.83,0.0
20230417:1811,0.0,0.0,0.0,6.07,2.97,0.0
20230417:1911,0.0,0.0,0.0,5.58,3.1,0.0
20230417:2011,0.0,0.0,0.0,4.72,3.17,0.0
20230417:2111,0.0,0.0,0.0,3.97,3.17,0.0
20230417:2211,0.0,0.0,0.0,3.37,3.17,0.0
20230417:2311,0.0,0.0,0.0,2.88,3.1,0.0
20230418:0011,0.0,0.0,0.0,2.49,3.17,0.0
20230418:0111,0.0,0.0,0.0,2.15,3.31,0.0
20230418:0211,0.0,0.0,0.0,1.91,3.52,0.0
20230418:0311,0.0,0.0,0.0,1.76,3.66,0.0
20230418:0411,0.0,4.96,4.75,1.77,3.86,0.0
20230418:0511,84.39,141.75,12.35,2.59,4.14,0.0
20230418:0611,302.11,365.62,19.96,4.2,4.14,0.0
20230418:0711,513.1,594.88,27.17,6.04,4.55,0.0
20230418:0811,684.69,802.48,33.49,7.73,4.76,0.0
20230418:0911,796.26,949.5,38.34,8.97,4.83,0.0
20230418:1011,834.7,1005.84,41.12,9.91,4.83,0.0
20230418:1111,765.05,919.07,41.38,10.56,4.83,0.0
20230418:1211,716.88,857.71,39.09,10.9,4.83,0.0
20230418:1311,651.17,773.94,34.61,11.02,4.83,0.0
20230418:1411,544.26,642.79,28.54,10.7,4.97,0.0
20230418:1511,337.55,410.67,21.47,10.14,4.83,0.0
20230418:1611,119.95,183.63,13.91,9.42,4.28,0.0
20230418:1711,11.76,25.63,6.28,8.23,4.83,0.0
20230418:1811,0.0,0.0,0.0,6.82,4.83,0.0
20230418:1911,0.0,0.0,0.0,6.11,4.76,0.0
20230418:2011,0.0,0.0,0.0,5.34,4.62,0.0
20230418:2111,0.0,0.0,0.0,4.7,4.41,0.0
20230418:2211,0.0,0.0,0.0,4.13,4.14,0.0
20230418:2311,0.0,0.0,0.0,3.64,3.79,0.0
20230419:0011,0.0,0.0,0.0,3.25,3.66,0.0
20230419:0111,0.0,0.0,0.0,2.95,3.66,0.0
20230419:0211,0.0,0.0,0.0,2.7,3.59,0.0
20230419:0311,0.0,0.0,0.0,2.46,3.52,0.0
20230419:0411,6.43,17.36,5.08,2.33,3.45,0.0
20230419:0511,86.61,144.65,12.68,2.98,3.17,0.0
20230419:0611,304.47,369.38,20.29,4.42,3.38,0.0
20230419:0711,511.44,597.3,27.5,6.18,3.45,0.0
20230419:0811,673.22,795.49,33.83,7.54,3.59,0.0
20230419:0911,786.46,945.78,38.69,8.61,3.72,0.0
20230419:1011,841.69,1020.8,41.47,9.26,4.0,0.0
20230419:1111,843.88,1022.24,41.73,9.55,4.28,0.0
20230419:1211,792.69,953.39,39.42,9.59,4.28,0.0
20230419:1311,704.27,838.85,34.92,9.44,4.07,0.0
20230419:1411,535.11,631.66,28.83,9.15,3.79,0.0
20230419:1511,337.39,409.97,21.75,8.76,3.45,0.0
20230419:1611,121.21,184.88,14.18,8.24,2.76,0.0
20230419:1711,12.4,26.46,6.55,7.35,2.62,0.0
20230419:1811,0.0,0.0,0.0,6.18,2.76,0.0
20230419:1911,0.0,0.0,0.0,5.59,2.9,0.0
20230419:2011,0.0,0.0,0.0,4.89,2.9,0.0
20230419:2111,0.0,0.0,0.0,4.36,2.9,0.0
20230419:2211,0.0,0.0,0.0,3.98,2.9,0.0
20230419:2311,0.0,0.0,0.0,3.7,2.83,0.0
20230420:0011,0.0,0.0,0.0,3.42,2.83,0.0
20230420:0111,0.0,0.0,0.0,3.2,2.76,0.0
20230420:0211,0.0,0.0,0.0,2.97,2.62,0.0
20230420:0311,0.0,0.0,0.0,2.75,2.62,0.0
20230420:0411,6.96,18.19,5.4,2.63,2.55,0.0
20230420:0511,88.28,145.75,13.0,3.27,2.21,0.0
20230420:0611,295.62,362.1,20.61,5.11,1.86,0.0
20230420:0711,493.82,587.96,27.83,7.39,1.72,0.0
20230420:0811,642.33,781.76,34.17,9.27,1.59,0.0
20230420:0911,712.62,888.81,39.04,10.56,1.31,0.0
20230420:1011,702.08,889.06,41.82,11.41,0.83,0.0
20230420:1111,679.33,865.36,42.07,12.05,0.55,0.0
20230420:1211,563.46,701.57,39.74,12.5,0.76,0.0
20230420:1311,455.09,557.4,35.22,12.77,1.1,0.0
20230420:1411,405.13,493.99,29.11,12.83,1.45,0.0
20230420:1511,221.43,278.34,22.02,12.62,1.66,0.0
